,horizon,mse,rmse,mae,mape,coverage
222,259 days 00:00:00.000000000,10242.48541719988,101.2051649729394,85.30058303162603,0.34178712135617545,0.33539823008849545
223,260 days 00:00:00.000000000,10317.34170244908,101.5743161554587,85.64408699230965,0.34340339961353306,0.34070796460177005
224,261 days 00:00:00.000000000,10482.665393738547,102.3848885028379,86.60248763093703,0.346505674304894,0.3400758533501897
225,262 days 00:00:00.000000000,10622.262076558236,103.06435890528905,87.24035417761316,0.34870220632594956,0.34323640960809115
226,263 days 00:00:00.000000000,10505.14662172635,102.4946175256357,86.82425951599151,0.3463268782104908,0.352085967130215
227,264 days 00:00:00.000000000,10471.816932827887,102.33189597006344,86.89863511154415,0.34602651602400736,0.354614412136536
228,265 days 00:00:00.000000000,10681.949161560742,103.35351547751408,87.85089696277755,0.34946680630269467,0.3495575221238938
229,266 days 00:00:00.000000000,10876.177768313031,104.28891488702446,88.52582536448003,0.3528159304633923,0.34513274336283195
230,267 days 00:00:00.000000000,10932.83106647215,104.56017916239504,88.84837634913777,0.3543712976498731,0.34513274336283184
231,268 days 00:00:00.000000000,11093.386244392144,105.32514535661531,89.75153787905333,0.3572045349372521,0.3413400758533502
232,269 days 00:00:00.000000000,11224.988044633461,105.94804408120737,90.31510479232162,0.3588226984215121,0.34323640960809093
233,270 days 00:00:00.000000000,11114.439824920937,105.42504363253039,89.90364524022225,0.3566558037767865,0.3482932996207333
234,271 days 00:00:00.000000000,11082.924473843148,105.27546947814172,90.00781846528619,0.3567756541724704,0.3466076696165191
235,272 days 00:00:00.000000000,11298.301358196955,106.2934680881048,90.88050000623203,0.3600368489626542,0.3436578171091446
236,273 days 00:00:00.000000000,11487.647573679851,107.1804439890032,91.48917032014204,0.36293692057383403,0.34336283185840705
